emg1,emg2,emg3
0.977517,0.229717,0.229717
1.104594,1.720430,0.195503
1.026393,0.708700,0.175953
0.987292,0.371457,0.175953
0.987292,0.259042,0.166178
0.972630,0.205279,0.175953
0.977517,0.166178,0.171065
0.967742,0.151515,0.171065
0.972630,0.146628,0.161290
0.962854,0.141740,0.171065
0.972630,0.141740,0.166178
0.967742,0.136852,0.171065
0.972630,0.141740,0.171065
0.972630,0.136852,0.161290
0.967742,0.136852,0.166178
0.967742,0.136852,0.171065
0.957967,0.131965,0.166178
0.957967,0.136852,0.161290
1.085044,1.485826,1.319648
1.031281,0.601173,0.542522
1.026393,0.288368,0.273705
0.977517,0.195503,0.190616
0.928641,0.161290,0.161290
0.943304,0.141740,0.156403
0.987292,0.141740,0.151515
1.031281,0.205279,0.620723
1.153470,1.055718,1.891496
1.055718,0.449658,0.733138
1.001955,0.234604,0.342131
0.977517,0.166178,0.210166
0.992180,0.141740,0.171065
1.006843,0.136852,0.156403
1.006843,0.131965,0.151515
0.977517,0.136852,0.151515
0.938416,0.136852,0.151515
0.933529,0.131965,0.146628
0.948192,0.131965,0.151515
0.957967,0.131965,0.151515
0.972630,0.131965,0.161290
0.967742,0.131965,0.151515
0.972630,0.131965,0.156403
0.972630,0.131965,0.156403
0.972630,0.131965,0.151515
0.972630,0.131965,0.156403
0.972630,0.136852,0.156403
0.977517,0.131965,0.151515
0.967742,0.127077,0.156403
0.967742,0.131965,0.146628
0.962854,0.131965,0.151515
0.967742,0.141740,0.151515
0.967742,0.136852,0.146628
0.977517,0.146628,0.156403
0.962854,0.161290,0.151515
0.987292,0.469208,0.171065
1.001955,0.483871,0.234604
0.982405,0.249267,0.175953
0.972630,0.171065,0.166178
1.036168,0.933529,0.356794
1.407625,4.496579,2.253177
1.427175,4.496579,2.673509
1.485826,4.496579,1.881720
1.441838,4.501466,1.754643
1.466276,4.496579,1.803519
1.397849,4.491691,1.500489
1.427175,4.491691,1.593353
1.451613,4.496579,1.612903
1.524927,4.496579,2.013685
1.534702,4.496579,1.700880
1.524927,4.442815,1.402737
1.495601,4.496579,1.510264
1.490714,4.491691,1.705767
1.495601,4.496579,1.529814
1.524927,4.496579,1.617791
1.549365,4.496579,1.896383
1.534702,4.496579,1.402737
1.534702,4.496579,1.808407
1.515152,4.496579,1.534702
1.505376,4.491691,1.114370
1.471163,4.105572,1.070381
1.495601,4.491691,1.402737
1.456500,3.724340,1.578690
1.505376,4.486804,1.451613
1.520039,4.496579,1.524927
1.529814,4.496579,1.744868
1.534702,4.496579,1.446725
1.544477,4.491691,1.358749
1.564027,4.491691,1.251222
1.573803,4.496579,1.129032
1.583578,4.496579,1.397849
1.573803,4.491691,1.129032
1.583578,4.496579,1.388074
1.603128,4.501466,1.539589
1.608016,4.496579,1.598240
1.622678,4.496579,1.808407
1.627566,4.496579,1.847507
1.617791,4.496579,1.539589
1.573803,4.315738,1.143695
1.495601,3.553275,1.006843
1.554252,4.491691,1.300098
1.564027,4.491691,1.241447
1.568915,4.486804,1.133920
1.515152,4.032258,0.884653
1.510264,4.428152,0.835777
1.520039,4.496579,1.060606
1.412512,3.289345,0.772239
1.490714,4.130010,0.957967
1.436950,3.719453,1.192571
1.485826,4.486804,1.041056
1.505376,4.496579,1.060606
1.520039,4.496579,0.928641
1.544477,4.496579,1.329423
1.534702,4.491691,0.997067
1.471163,3.880743,1.246334
1.505376,4.481916,0.953079
1.500489,4.291300,0.904203
1.466276,4.217986,0.899316
1.402737,3.572825,0.879765
1.388074,3.597263,1.094819
1.397849,3.826979,0.821114
1.295210,2.776149,0.664712
1.270772,2.570870,0.703812
1.275660,2.531769,0.938416
1.300098,2.908113,0.650049
1.441838,4.496579,0.860215
1.495601,4.491691,1.168133
1.407625,3.543500,0.982405
1.495601,4.491691,0.962854
1.407625,3.421310,0.747801
1.412512,3.475073,0.913978
1.412512,4.144673,0.650049
1.339198,3.167155,0.679374
1.319648,3.049853,0.806452
1.417400,4.178886,0.786901
1.383187,3.504399,1.168133
1.348974,3.587488,0.830890
1.309873,3.040078,0.806452
1.290323,3.059629,0.874878
1.358749,3.812317,0.879765
1.339198,3.479961,0.821114
1.368524,3.993157,0.674487
1.392962,3.924731,0.674487
1.373412,3.636364,0.620723
1.280547,2.785924,0.757576
1.397849,4.178886,0.855327
1.314761,3.206256,0.811339
1.295210,3.108504,0.738025
1.260997,2.756598,0.620723
1.256109,2.873900,0.767351
1.221896,2.365591,0.635386
1.182796,2.067449,0.620723
1.173021,2.121212,0.806452
1.221896,2.913001,0.752688
1.251222,2.898338,0.742913
1.295210,3.489736,0.767351
1.353861,3.919844,0.772239
1.319648,3.313783,0.752688
1.226784,2.394917,0.659824
1.251222,2.873900,0.576735
1.265885,3.010753,0.571848
1.231672,2.561095,0.674487
1.207234,2.350929,0.606061
1.314761,3.646139,0.840665
1.256109,2.697947,0.645161
1.246334,2.658847,0.581623
1.270772,3.020528,0.591398
1.251222,2.878788,0.547410
1.314761,3.499511,0.840665
1.300098,3.343109,0.659824
1.280547,2.766373,0.742913
1.314761,3.289345,0.928641
1.275660,2.785924,0.855327
1.314761,3.206256,0.747801
1.304985,3.162268,0.782014
1.265885,2.790811,0.791789
1.290323,3.113392,0.821114
1.309873,3.162268,0.791789
1.182796,1.940371,0.620723
1.212121,2.614858,0.708700
1.182796,2.434018,0.591398
1.192571,2.248289,0.782014
1.295210,3.123167,0.801564
1.256109,2.751711,0.669599
1.397849,4.379277,0.928641
1.280547,2.746823,0.645161
1.446725,4.477028,0.953079
1.402737,3.822092,0.791789
1.334311,3.333333,0.669599
1.256109,2.468231,0.591398
1.221896,2.326491,0.606061
1.241447,2.781036,0.718475
1.207234,2.341153,0.762463
1.182796,2.443793,0.576735
1.173021,2.062561,0.835777
1.207234,2.639296,0.684262
1.236559,2.737048,0.830890
1.251222,2.839687,0.762463
1.270772,3.167155,0.723363
1.212121,2.482893,0.596285
1.182796,2.135875,0.615836
1.231672,2.605083,0.879765
1.251222,2.653959,0.899316
1.300098,3.123167,1.065494
1.353861,3.357771,0.928641
1.304985,3.015640,1.080156
1.402737,4.002933,1.080156
1.368524,3.367546,1.173021
1.466276,4.496579,1.197458
1.505376,4.496579,1.192571
1.476051,3.885630,1.124145
1.422287,3.910068,0.889541
1.495601,4.496579,1.339198
1.510264,4.496579,1.114370
1.520039,4.496579,0.962854
1.524927,4.491691,1.065494
1.510264,4.032258,1.251222
1.471163,3.973607,0.953079
1.422287,3.597263,0.977517
1.407625,3.910068,0.928641
1.471163,4.496579,1.251222
1.436950,3.929619,0.977517
1.461388,4.310850,0.987292
1.368524,3.431085,0.806452
1.358749,3.123167,0.918866
1.358749,3.357771,0.674487
1.344086,3.181818,0.718475
1.378299,3.729228,0.786901
1.373412,3.426197,1.001955
1.314761,2.825024,0.933529
1.329423,3.030303,0.889541
1.295210,2.996090,0.733138
1.373412,3.763441,0.865103
1.148583,1.368524,0.420332
1.021505,0.566960,0.244379
0.987292,0.283480,0.180841
0.972630,0.215054,0.175953
0.962854,0.166178,0.161290
0.967742,0.195503,0.171065
0.967742,0.195503,0.156403
0.967742,0.298143,0.190616
0.987292,0.483871,0.229717
0.977517,0.532747,0.263930
0.987292,0.391007,0.229717
0.987292,0.278592,0.190616
1.001955,0.263930,0.180841
0.997067,0.175953,0.161290
0.977517,0.151515,0.156403
0.967742,0.136852,0.151515
0.953079,0.131965,0.151515
0.962854,0.136852,0.156403
0.972630,0.131965,0.146628
0.972630,0.131965,0.151515
0.967742,0.131965,0.151515
0.967742,0.131965,0.151515
0.967742,0.131965,0.146628
0.967742,0.136852,0.151515
0.967742,0.131965,0.151515
0.972630,0.131965,0.151515
0.967742,0.136852,0.151515
0.972630,0.136852,0.151515
0.972630,0.136852,0.151515
0.977517,0.136852,0.151515
0.972630,0.131965,0.151515
0.972630,0.127077,0.146628
0.972630,0.131965,0.151515
0.967742,0.131965,0.151515
0.972630,0.131965,0.151515
0.972630,0.136852,0.151515
0.972630,0.131965,0.146628
0.967742,0.131965,0.151515
0.967742,0.136852,0.151515
0.972630,0.131965,0.146628
0.967742,0.131965,0.146628
0.967742,0.131965,0.151515
0.967742,0.131965,0.146628
0.967742,0.131965,0.151515
0.962854,0.136852,0.151515
0.962854,0.136852,0.146628
0.972630,0.136852,0.151515
0.962854,0.131965,0.151515
0.967742,0.136852,0.146628
0.967742,0.131965,0.151515
0.962854,0.131965,0.151515
0.967742,0.131965,0.151515
0.962854,0.136852,0.151515
0.967742,0.136852,0.151515
0.967742,0.131965,0.146628
0.967742,0.131965,0.141740
0.962854,0.131965,0.151515
0.962854,0.131965,0.146628
0.967742,0.131965,0.146628
0.962854,0.131965,0.151515
0.967742,0.131965,0.146628
0.967742,0.131965,0.151515
0.967742,0.131965,0.146628
0.967742,0.136852,0.151515
0.957967,0.131965,0.151515
0.962854,0.131965,0.151515
0.972630,0.131965,0.146628
0.972630,0.136852,0.151515
0.982405,0.136852,0.146628
0.982405,0.131965,0.151515
0.982405,0.131965,0.146628
0.982405,0.131965,0.146628
0.977517,0.131965,0.146628
0.982405,0.131965,0.146628
0.977517,0.136852,0.151515
0.977517,0.136852,0.151515
0.982405,0.131965,0.146628
0.972630,0.131965,0.151515
0.977517,0.131965,0.146628
0.977517,0.131965,0.146628
0.977517,0.131965,0.151515
0.992180,0.131965,0.146628
0.977517,0.131965,0.151515
0.977517,0.131965,0.151515
0.977517,0.131965,0.156403
0.977517,0.131965,0.146628
0.977517,0.136852,0.151515
0.987292,0.136852,0.146628
0.987292,0.131965,0.151515
0.977517,0.136852,0.151515
0.977517,0.136852,0.151515
0.967742,0.136852,0.151515
0.977517,0.136852,0.156403
0.977517,0.136852,0.166178
0.967742,0.131965,0.161290
0.967742,0.131965,0.175953
0.962854,0.136852,0.151515
0.972630,0.131965,0.156403
0.967742,0.136852,0.161290
0.967742,0.141740,0.166178
0.982405,0.317693,0.224829
1.109482,1.598240,0.674487
1.466276,4.496579,1.710655
1.573803,4.496579,1.388074
1.627566,4.496579,1.265885
1.652004,4.491691,1.500489
1.642229,4.491691,1.407625
1.642229,4.496579,1.388074
1.671554,4.496579,1.094819
1.695992,4.496579,1.251222
1.744868,4.496579,1.275660
1.735093,4.359726,1.353861
1.739980,4.496579,1.163245
1.759531,4.496579,1.114370
1.779081,4.452590,1.197458
1.744868,3.993157,0.948192
1.725318,3.822092,1.065494
1.788856,4.491691,1.104594
1.783969,4.374389,1.173021
1.744868,3.983382,1.129032
1.715543,3.826979,0.889541
1.803519,4.491691,0.879765
1.837732,4.496579,0.997067
1.759531,3.577713,0.791789
1.691105,3.484848,0.757576
1.681329,3.538612,0.694037
1.637341,3.088954,0.884653
1.671554,4.056696,0.689150
1.647116,3.196481,0.791789
1.666667,3.763441,1.104594
1.691105,3.939394,1.104594
1.764418,4.002933,0.977517
1.783969,3.763441,0.977517
1.867058,4.496579,1.280547
1.871945,4.496579,0.899316
1.871945,4.491691,1.226784
1.818182,4.496579,0.850440
1.827957,4.491691,0.801564
1.842620,4.491691,0.752688
1.847507,4.496579,1.011730
1.837732,4.491691,0.703812
1.837732,4.496579,0.845552
1.837732,4.491691,0.933529
1.744868,3.778104,0.850440
1.661779,3.157380,0.728250
1.754643,4.374389,1.001955
1.715543,4.022483,0.826002
1.671554,3.660802,0.728250
1.622678,3.372434,0.738025
1.608016,3.284457,0.684262
1.554252,2.996090,0.806452
1.593353,3.489736,0.796676
1.583578,3.137830,0.694037
1.422287,2.404692,0.742913
1.388074,2.820137,0.615836
1.485826,3.900293,0.889541
1.539589,3.729228,0.904203
1.451613,2.795699,0.728250
1.480938,3.123167,0.635386
1.451613,2.825024,0.571848
1.500489,3.401760,0.733138
1.490714,3.318671,0.742913
1.485826,3.352884,0.689150
1.505376,3.470186,0.664712
1.427175,3.010753,0.654936
1.368524,2.800587,0.650049
1.309873,2.316716,0.635386
1.275660,2.067449,0.513196
1.304985,2.473118,0.591398
1.329423,2.727273,0.620723
1.348974,2.751711,0.742913
1.436950,3.597263,0.791789
1.378299,3.079179,0.703812
1.348974,2.966764,0.606061
1.388074,3.040078,0.835777
1.334311,2.653959,0.620723
1.334311,2.790811,0.679374
1.388074,3.465298,0.777126
1.388074,3.294233,0.586510
1.466276,3.944282,0.659824
1.568915,4.491691,0.708700
1.608016,4.496579,0.909091
1.617791,4.496579,0.742913
1.505376,3.230694,0.620723
1.485826,3.523949,0.620723
1.407625,2.854350,0.591398
1.344086,2.693060,0.669599
1.324536,2.854350,0.821114
1.270772,2.507331,0.762463
1.231672,2.267840,0.513196
1.304985,2.776149,0.635386
1.373412,3.582600,0.830890
1.290323,2.429130,0.733138
1.246334,2.404692,0.620723
1.304985,3.475073,0.620723
1.280547,2.839687,0.581623
1.251222,2.512219,0.596285
1.226784,2.321603,0.518084
1.212121,2.341153,0.532747
1.217009,2.233627,0.439883
1.246334,2.971652,0.562072
1.329423,3.338221,0.654936
1.236559,2.277615,0.620723
1.226784,2.267840,0.694037
1.221896,2.360704,0.620723
1.207234,2.272727,0.493646
1.212121,2.443793,0.674487
1.207234,2.404692,0.542522
1.368524,3.900293,0.723363
1.451613,4.447703,0.620723
1.505376,4.496579,0.742913
1.407625,3.255132,0.816227
1.344086,2.956989,0.826002
1.339198,3.040078,0.728250
1.383187,3.450635,0.860215
1.412512,3.607038,0.869990
1.485826,4.301075,0.957967
1.392962,3.269795,0.967742
1.432063,4.173998,0.992180
1.339198,2.908113,0.782014
1.265885,2.390029,0.552297
1.251222,2.350929,0.782014
1.173021,1.857283,0.498534
1.217009,2.350929,0.698925
1.236559,2.409580,0.522972
1.344086,3.328446,0.591398
1.285435,2.702835,0.742913
1.226784,2.023460,0.762463
1.363636,3.479961,1.085044
1.319648,2.844575,0.782014
1.358749,3.000978,0.615836
1.339198,2.805474,0.747801
1.329423,2.756598,0.576735
1.392962,3.479961,0.742913
1.471163,4.154448,0.723363
1.397849,3.431085,0.762463
1.461388,4.222874,0.654936
1.348974,2.869013,0.527859
1.295210,2.619746,0.601173
1.221896,2.062561,0.395894
1.256109,2.737048,0.464321
1.260997,2.844575,0.459433
1.197458,1.911046,0.395894
1.251222,2.683284,0.503421
1.182796,2.013685,0.449658
1.202346,2.174976,0.586510
1.177908,1.871945,0.508309
1.163245,1.915934,0.434995
1.207234,2.478006,0.591398
1.246334,2.893451,0.469208
1.280547,2.839687,0.527859
1.256109,2.546432,0.532747
1.300098,2.898338,0.630499
1.309873,2.991202,0.601173
1.339198,3.245357,0.659824
1.251222,2.272727,0.557185
1.300098,2.849462,0.557185
1.241447,2.306940,0.518084
1.192571,1.959922,0.454545
1.231672,2.302053,0.430108
1.173021,1.774194,0.376344
1.197458,2.336266,0.522972
1.246334,2.844575,0.469208
1.246334,2.702835,0.513196
1.212121,2.473118,0.562072
1.192571,2.145650,0.366569
1.177908,2.184751,0.376344
1.241447,2.732160,0.469208
1.241447,2.693060,0.459433
1.182796,1.999022,0.434995
1.163245,1.950147,0.371457
1.231672,2.805474,0.513196
1.197458,2.346041,0.591398
1.241447,2.688172,0.532747
1.207234,2.297165,0.415445
1.207234,2.443793,0.400782
1.241447,2.673509,0.464321
1.246334,2.600196,0.576735
1.217009,2.350929,0.571848
1.226784,2.365591,0.474096
1.280547,3.255132,0.508309
1.334311,3.333333,0.576735
1.270772,2.590420,0.625611
1.260997,2.795699,0.659824
1.265885,2.947214,0.532747
1.241447,2.644184,0.591398
1.280547,2.815249,0.708700
1.285435,2.937439,0.625611
1.334311,3.416422,0.713587
1.466276,4.496579,1.060606
1.490714,4.496579,0.889541
1.505376,4.496579,0.953079
1.510264,4.496579,0.913978
1.534702,4.496579,1.050831
1.539589,4.496579,1.129032
