emg1,emg2,emg3
1.505376,0.185728,0.185728
1.300098,0.180841,0.171065
0.948192,0.161290,0.156403
0.801564,0.151515,0.156403
0.957967,0.141740,0.156403
1.060606,0.141740,0.151515
0.840665,0.136852,0.151515
0.948192,0.136852,0.156403
0.767351,0.141740,0.166178
0.782014,0.146628,0.161290
0.703812,0.136852,0.151515
0.713587,0.136852,0.156403
0.542522,0.136852,0.151515
0.835777,0.136852,0.156403
0.845552,0.136852,0.156403
0.840665,0.136852,0.156403
0.801564,0.136852,0.151515
0.835777,0.146628,0.156403
0.757576,0.136852,0.156403
0.855327,0.136852,0.151515
0.718475,0.136852,0.146628
0.713587,0.136852,0.151515
0.772239,0.136852,0.151515
1.358749,0.151515,0.175953
0.542522,0.136852,0.156403
0.557185,0.141740,0.166178
0.601173,0.141740,0.156403
0.557185,0.131965,0.151515
0.640274,0.136852,0.151515
0.356794,0.131965,0.151515
0.400782,0.136852,0.146628
0.430108,0.136852,0.151515
0.620723,0.136852,0.146628
0.586510,0.131965,0.146628
0.518084,0.131965,0.151515
0.513196,0.131965,0.151515
0.439883,0.131965,0.151515
0.410557,0.131965,0.151515
0.488759,0.131965,0.151515
0.547410,0.131965,0.151515
0.650049,0.136852,0.156403
0.694037,0.131965,0.156403
0.454545,0.136852,0.151515
0.405670,0.136852,0.151515
0.376344,0.131965,0.151515
0.405670,0.131965,0.146628
0.459433,0.136852,0.146628
0.547410,0.136852,0.151515
0.547410,0.131965,0.146628
0.752688,0.141740,0.151515
0.591398,0.141740,0.156403
0.615836,0.141740,0.166178
0.562072,0.136852,0.161290
0.845552,0.131965,0.156403
0.654936,0.136852,0.161290
0.645161,0.141740,0.161290
0.351906,0.136852,0.151515
0.244379,0.141740,0.151515
0.200391,0.131965,0.146628
0.180841,0.136852,0.146628
0.161290,0.136852,0.151515
0.185728,0.131965,0.146628
0.166178,0.131965,0.146628
0.175953,0.136852,0.151515
0.224829,0.131965,0.151515
0.190616,0.131965,0.151515
0.205279,0.131965,0.156403
0.395894,0.136852,0.156403
0.332356,0.136852,0.156403
0.654936,0.166178,0.171065
0.439883,0.175953,0.180841
0.518084,0.151515,0.166178
0.303030,0.136852,0.151515
0.278592,0.146628,0.166178
0.215054,0.146628,0.166178
0.195503,0.146628,0.161290
0.166178,0.136852,0.146628
0.224829,0.166178,0.156403
0.420332,0.190616,0.156403
0.234604,0.156403,0.151515
0.185728,0.141740,0.146628
0.175953,0.146628,0.156403
0.210166,0.141740,0.161290
0.180841,0.146628,0.156403
0.171065,0.136852,0.146628
0.151515,0.151515,0.151515
0.156403,0.175953,0.151515
0.185728,0.156403,0.151515
0.180841,0.146628,0.151515
0.210166,0.146628,0.166178
0.175953,0.146628,0.156403
0.156403,0.141740,0.146628
0.156403,0.175953,0.166178
0.171065,0.219941,0.156403
0.151515,0.166178,0.156403
0.205279,0.146628,0.151515
0.215054,0.146628,0.156403
0.175953,0.166178,0.166178
0.166178,0.151515,0.156403
0.156403,0.151515,0.151515
0.283480,0.180841,0.156403
0.195503,0.180841,0.156403
0.166178,0.146628,0.146628
0.175953,0.151515,0.156403
0.180841,0.141740,0.156403
0.224829,0.146628,0.156403
0.195503,0.136852,0.156403
0.171065,0.166178,0.161290
0.200391,0.180841,0.171065
0.200391,0.166178,0.161290
0.175953,0.146628,0.151515
0.200391,0.146628,0.175953
0.215054,0.156403,0.171065
0.239492,0.151515,0.161290
0.185728,0.146628,0.156403
0.185728,0.156403,0.156403
0.180841,0.156403,0.156403
0.156403,0.141740,0.161290
0.200391,0.136852,0.156403
0.195503,0.136852,0.156403
0.161290,0.151515,0.151515
0.166178,0.141740,0.156403
0.171065,0.166178,0.151515
0.205279,0.210166,0.156403
0.161290,0.161290,0.156403
0.180841,0.146628,0.156403
0.229717,0.151515,0.161290
0.219941,0.141740,0.156403
0.190616,0.146628,0.161290
0.156403,0.175953,0.151515
0.185728,0.205279,0.166178
0.224829,0.171065,0.156403
0.175953,0.141740,0.151515
0.591398,0.156403,0.146628
0.400782,0.151515,0.146628
0.620723,0.151515,0.146628
0.762463,0.239492,0.151515
0.889541,0.263930,0.151515
0.816227,0.180841,0.146628
0.425220,0.166178,0.151515
0.234604,0.351906,0.332356
0.185728,0.224829,0.210166
0.669599,0.175953,0.171065
1.202346,0.175953,0.156403
0.928641,0.151515,0.151515
0.630499,0.151515,0.146628
0.322581,0.200391,0.229717
0.200391,0.219941,0.263930
0.171065,0.166178,0.210166
1.177908,0.161290,0.171065
1.456500,0.195503,0.161290
0.928641,0.166178,0.151515
0.620723,0.151515,0.151515
0.366569,0.146628,0.146628
0.219941,0.239492,0.283480
0.166178,0.327468,0.400782
0.175953,0.205279,0.239492
0.782014,0.175953,0.175953
1.075269,0.185728,0.156403
0.757576,0.161290,0.156403
0.904203,0.161290,0.151515
0.395894,0.151515,0.146628
0.224829,0.278592,0.337243
0.175953,0.215054,0.234604
0.703812,0.175953,0.175953
1.001955,0.166178,0.161290
1.436950,0.219941,0.151515
0.894428,0.190616,0.146628
0.620723,0.156403,0.151515
0.317693,0.175953,0.205279
0.205279,0.420332,0.395894
0.239492,0.254154,0.234604
1.202346,0.185728,0.175953
1.270772,0.210166,0.156403
0.801564,0.161290,0.156403
0.557185,0.166178,0.146628
0.400782,0.180841,0.151515
0.415445,0.175953,0.175953
0.239492,0.449658,0.288368
0.175953,0.351906,0.293255
1.148583,0.229717,0.195503
0.913978,0.249267,0.171065
0.821114,0.337243,0.156403
0.913978,0.210166,0.156403
0.674487,0.190616,0.146628
0.342131,0.171065,0.146628
0.219941,0.361681,0.395894
0.190616,0.224829,0.234604
0.884653,0.234604,0.175953
0.713587,0.210166,0.156403
0.503421,0.166178,0.146628
0.278592,0.156403,0.146628
0.263930,0.146628,0.146628
0.395894,0.141740,0.151515
0.972630,0.190616,0.151515
0.557185,0.205279,0.151515
0.303030,0.347019,0.430108
0.625611,0.244379,0.283480
1.378299,0.337243,0.190616
1.265885,0.283480,0.166178
1.011730,0.219941,0.156403
1.168133,0.210166,0.151515
0.601173,0.210166,0.151515
0.312805,0.259042,0.200391
0.219941,0.298143,0.273705
