emg1,emg2,emg3
4.496579,0.210166,0.166178
4.501466,0.205279,0.166178
4.501466,0.195503,0.161290
4.501466,0.185728,0.166178
4.496579,1.226784,0.161290
4.496579,0.542522,0.156403
4.501466,0.317693,0.156403
4.496579,0.234604,0.156403
4.501466,0.830890,0.166178
4.501466,1.319648,0.156403
4.496579,0.689150,0.166178
4.501466,0.347019,0.161290
4.501466,0.229717,0.156403
4.496579,0.234604,0.161290
4.496579,0.190616,0.171065
4.496579,0.210166,0.161290
4.496579,0.200391,0.161290
4.501466,0.171065,0.161290
4.501466,0.166178,0.156403
4.501466,0.151515,0.166178
2.981427,0.141740,0.166178
1.510264,0.131965,0.156403
0.811339,0.136852,0.156403
0.464321,0.146628,0.190616
0.298143,0.141740,0.215054
0.298143,0.146628,0.205279
0.190616,0.146628,0.175953
0.185728,0.136852,0.161290
0.386119,0.136852,0.156403
0.654936,0.136852,0.151515
0.845552,0.141740,0.156403
0.826002,0.136852,0.156403
0.865103,0.136852,0.156403
0.953079,0.146628,0.200391
0.860215,0.136852,0.175953
0.801564,0.131965,0.166178
0.752688,0.131965,0.166178
0.928641,0.131965,0.166178
0.894428,0.131965,0.180841
1.065494,0.131965,0.161290
1.011730,0.136852,0.195503
0.830890,0.141740,0.180841
0.884653,0.136852,0.161290
0.845552,0.136852,0.166178
0.723363,0.136852,0.161290
0.591398,0.131965,0.156403
0.410557,0.131965,0.156403
0.586510,0.131965,0.151515
0.351906,0.136852,0.156403
0.293255,0.136852,0.151515
0.337243,0.131965,0.146628
0.293255,0.131965,0.151515
0.224829,0.127077,0.146628
0.171065,0.131965,0.146628
0.146628,0.131965,0.156403
0.141740,0.127077,0.146628
0.141740,0.136852,0.151515
0.141740,0.131965,0.151515
0.146628,0.131965,0.146628
0.141740,0.131965,0.146628
0.141740,0.131965,0.151515
0.141740,0.136852,0.146628
0.185728,0.136852,0.151515
0.298143,0.131965,0.146628
0.298143,0.131965,0.151515
0.391007,0.537634,0.303030
0.381232,1.217009,0.449658
0.816227,1.417400,0.395894
0.508309,0.874878,0.259042
0.405670,0.415445,0.200391
0.425220,0.224829,0.166178
0.620723,0.175953,0.161290
0.703812,0.151515,0.161290
