emg1,emg2,emg3
2.018573,0.185728,0.210166
4.501466,0.205279,0.210166
4.501466,0.210166,0.200391
4.496579,0.190616,0.210166
4.501466,0.175953,0.195503
2.732160,0.161290,0.200391
1.539589,0.175953,0.195503
0.962854,0.185728,0.200391
0.777126,0.175953,0.200391
0.630499,0.156403,0.195503
0.679374,0.141740,0.200391
0.601173,0.136852,0.200391
0.674487,0.136852,0.195503
0.620723,0.136852,0.195503
0.620723,0.136852,0.200391
0.708700,0.141740,0.195503
0.796676,0.219941,0.195503
0.728250,0.195503,0.205279
0.909091,0.234604,0.224829
0.522972,0.175953,0.434995
0.347019,0.166178,0.449658
0.278592,0.146628,0.420332
0.322581,0.156403,0.430108
0.303030,0.146628,0.361681
0.244379,0.156403,0.356794
0.381232,0.146628,0.386119
0.351906,0.141740,0.342131
0.547410,0.141740,0.469208
1.016618,0.136852,0.415445
0.777126,0.141740,0.400782
0.967742,0.136852,0.376344
1.114370,0.146628,0.234604
0.997067,0.136852,0.180841
1.026393,0.141740,0.190616
0.894428,0.131965,0.180841
0.909091,0.131965,0.171065
0.982405,0.136852,0.171065
0.694037,0.136852,0.166178
0.449658,0.136852,0.156403
0.464321,0.136852,0.161290
0.430108,0.131965,0.156403
0.703812,0.131965,0.166178
0.967742,0.136852,0.156403
0.904203,0.131965,0.166178
1.080156,0.136852,0.180841
0.894428,0.141740,0.171065
1.006843,0.141740,0.166178
0.650049,0.136852,0.161290
0.659824,0.136852,0.171065
0.464321,0.131965,0.161290
0.635386,0.131965,0.161290
0.337243,0.136852,0.156403
0.356794,0.131965,0.161290
0.498534,0.131965,0.161290
0.562072,0.136852,0.161290
0.454545,0.131965,0.161290
0.552297,0.131965,0.156403
0.327468,0.131965,0.161290
0.283480,0.131965,0.161290
0.337243,0.131965,0.156403
0.527859,0.166178,0.161290
0.361681,2.526882,0.620723
0.332356,3.685239,0.909091
0.371457,4.496579,1.314761
0.327468,4.496579,1.089932
0.430108,4.491691,0.845552
0.298143,3.998045,0.747801
0.215054,2.375367,0.425220
0.166178,1.568915,0.381232
0.259042,0.620723,0.239492
1.241447,0.610948,0.234604
2.106549,0.498534,0.268817
2.311828,0.469208,0.215054
2.028348,0.351906,0.180841
1.461388,0.224829,0.166178
0.821114,0.210166,0.161290
0.777126,0.161290,0.156403
0.576735,0.156403,0.156403
0.713587,0.141740,0.161290
0.689150,0.136852,0.161290
0.527859,0.175953,0.161290
0.449658,0.889541,0.278592
0.508309,3.255132,0.894428
0.449658,4.491691,1.163245
0.376344,4.491691,1.304985
0.332356,3.621701,0.698925
0.219941,2.194526,0.478983
0.195503,1.647116,0.371457
0.278592,0.650049,0.224829
1.348974,0.909091,0.254154
1.842620,0.752688,0.288368
2.913001,0.645161,0.283480
1.544477,0.356794,0.205279
1.026393,0.215054,0.175953
0.957967,0.190616,0.166178
0.845552,0.156403,0.166178
0.830890,0.146628,0.171065
0.718475,0.156403,0.166178
0.606061,0.136852,0.166178
0.503421,1.441838,0.317693
0.869990,4.496579,1.637341
0.767351,4.496579,2.370479
0.620723,4.496579,1.652004
0.361681,4.286413,0.953079
0.268817,2.106549,0.508309
0.503421,1.099707,0.322581
1.446725,0.782014,0.283480
2.844575,0.816227,0.327468
2.492669,0.713587,0.259042
2.277615,0.464321,0.219941
1.837732,0.410557,0.190616
1.392962,0.288368,0.190616
1.348974,0.249267,0.185728
1.309873,0.180841,0.166178
1.055718,0.190616,0.171065
0.752688,0.156403,0.166178
1.016618,0.180841,0.166178
0.977517,0.185728,0.171065
0.635386,0.312805,0.219941
0.684262,2.678397,0.943304
0.796676,4.491691,2.140762
0.620723,4.491691,1.422287
0.606061,2.189638,0.894428
0.337243,1.275660,0.508309
0.694037,1.480938,0.425220
0.826002,0.640274,0.273705
1.432063,0.762463,0.322581
2.551320,0.840665,0.307918
3.069404,0.664712,0.303030
2.815249,0.522972,0.244379
1.256109,0.303030,0.200391
1.138807,0.273705,0.175953
0.796676,0.219941,0.166178
0.948192,0.190616,0.171065
0.718475,0.156403,0.161290
0.581623,0.141740,0.161290
0.620723,0.141740,0.156403
0.439883,0.141740,0.156403
0.742913,0.205279,0.161290
0.899316,1.085044,0.415445
0.894428,3.826979,1.197458
0.923754,4.496579,1.480938
0.674487,4.130010,0.953079
0.552297,3.968719,0.791789
0.298143,2.551320,0.503421
0.278592,1.544477,0.317693
1.070381,0.752688,0.259042
2.326491,0.943304,0.263930
2.629521,0.689150,0.283480
2.282502,0.518084,0.224829
1.544477,0.312805,0.195503
0.918866,0.190616,0.166178
0.596285,0.190616,0.161290
0.361681,0.156403,0.156403
0.395894,0.141740,0.156403
0.263930,0.141740,0.161290
0.601173,0.136852,0.161290
0.410557,0.156403,0.161290
0.395894,0.141740,0.161290
0.376344,0.136852,0.156403
0.527859,0.161290,0.161290
1.036168,0.224829,0.215054
0.606061,0.185728,0.175953
0.400782,0.219941,0.190616
1.129032,3.118280,0.620723
0.884653,4.496579,1.925709
1.109482,4.496579,1.827957
1.466276,4.496579,1.568915
0.962854,4.496579,1.769306
1.627566,4.496579,1.959922
2.033236,4.496579,1.901271
1.392962,4.491691,1.510264
1.021505,2.223851,0.650049
1.143695,1.241447,0.425220
1.085044,0.733138,0.273705
1.275660,0.522972,0.229717
2.096774,0.386119,0.234604
1.974585,0.312805,0.229717
1.847507,0.219941,0.185728
1.847507,0.254154,0.175953
1.715543,0.185728,0.171065
1.231672,0.161290,0.171065
0.816227,0.200391,0.180841
0.943304,2.404692,0.698925
0.923754,4.496579,1.412512
0.860215,4.496579,1.422287
1.129032,4.491691,1.138807
0.620723,3.939394,1.226784
0.620723,2.409580,0.738025
0.601173,1.036168,0.371457
0.987292,0.620723,0.293255
1.461388,0.532747,0.273705
2.033236,0.537634,0.263930
2.321603,0.400782,0.224829
1.656891,0.298143,0.205279
1.627566,0.205279,0.190616
0.904203,0.195503,0.185728
1.451613,0.156403,0.171065
0.874878,0.161290,0.171065
0.879765,0.259042,0.185728
0.552297,0.586510,0.332356
0.498534,3.123167,0.938416
0.850440,4.496579,1.700880
0.782014,4.496579,1.573803
0.708700,4.491691,1.129032
0.395894,3.196481,0.752688
0.527859,1.539589,0.415445
1.060606,0.806452,0.298143
1.906158,0.557185,0.249267
1.940371,0.395894,0.224829
2.614858,0.307918,0.283480
2.346041,0.268817,0.239492
1.656891,0.215054,0.200391
1.104594,0.171065,0.185728
0.953079,0.161290,0.175953
0.830890,0.185728,0.180841
0.522972,0.195503,0.185728
0.361681,0.171065,0.161290
0.601173,0.210166,0.166178
0.449658,2.165200,0.464321
0.620723,4.496579,1.788856
0.728250,4.496579,1.881720
0.566960,4.496579,1.363636
0.337243,2.800587,0.796676
1.021505,1.285435,0.469208
1.744868,0.772239,0.356794
2.482893,0.816227,0.337243
3.323558,0.571848,0.381232
2.346041,0.361681,0.263930
1.686217,0.244379,0.205279
1.300098,0.195503,0.175953
1.207234,0.166178,0.171065
0.689150,0.141740,0.161290
0.894428,0.146628,0.171065
0.620723,0.136852,0.161290
0.718475,0.151515,0.161290
0.601173,0.136852,0.161290
0.938416,0.244379,0.185728
1.251222,1.867058,0.420332
0.967742,3.748778,1.055718
0.791789,3.299120,1.075269
1.148583,2.815249,0.674487
0.518084,2.346041,0.557185
0.459433,0.967742,0.303030
0.439883,0.498534,0.229717
1.148583,0.650049,0.224829
2.170088,0.650049,0.229717
2.820137,0.581623,0.254154
2.194526,0.518084,0.303030
1.813294,0.278592,0.215054
1.246334,0.278592,0.180841
0.840665,0.244379,0.171065
1.065494,0.185728,0.161290
0.953079,0.195503,0.166178
0.777126,0.161290,0.166178
0.620723,0.156403,0.166178
0.835777,0.136852,0.190616
0.777126,0.156403,0.175953
0.855327,0.146628,0.166178
0.586510,0.136852,0.166178
0.430108,0.136852,0.166178
0.459433,0.136852,0.166178
0.430108,0.200391,0.171065
0.449658,1.212121,0.518084
0.361681,2.385142,0.826002
0.322581,4.296188,1.129032
0.327468,3.655914,0.850440
0.219941,2.609971,0.669599
0.171065,1.593353,0.478983
0.195503,0.645161,0.263930
0.615836,0.620723,0.263930
1.715543,0.723363,0.219941
2.512219,0.772239,0.249267
2.150538,0.513196,0.219941
2.228739,0.283480,0.190616
1.021505,0.273705,0.171065
0.972630,0.175953,0.161290
0.537634,0.151515,0.156403
0.439883,0.146628,0.224829
0.503421,0.136852,0.185728
0.405670,0.219941,0.190616
0.488759,2.341153,0.434995
0.571848,4.496579,1.300098
0.586510,4.496579,1.573803
0.420332,4.491691,1.124145
0.312805,3.587488,0.669599
0.200391,1.422287,0.356794
0.249267,0.703812,0.234604
1.622678,0.532747,0.215054
1.827957,0.777126,0.215054
3.040078,0.625611,0.219941
1.622678,0.420332,0.190616
0.777126,0.229717,0.175953
0.723363,0.224829,0.166178
0.591398,0.171065,0.166178
0.439883,0.180841,0.166178
