emg1,emg2,emg3
0.918866,0.166178,0.180841
0.909091,0.161290,0.166178
0.953079,0.156403,0.161290
0.742913,0.156403,0.166178
0.454545,0.171065,0.161290
0.376344,0.151515,0.156403
0.361681,0.146628,0.156403
0.620723,0.136852,0.151515
0.659824,0.136852,0.161290
0.586510,0.146628,0.156403
0.522972,0.146628,0.156403
0.283480,0.175953,0.151515
0.210166,0.166178,0.156403
0.166178,0.156403,0.156403
0.166178,0.141740,0.146628
0.146628,0.136852,0.156403
0.171065,0.136852,0.156403
0.156403,0.136852,0.151515
0.146628,0.136852,0.151515
0.141740,0.136852,0.151515
0.200391,0.131965,0.151515
0.190616,0.131965,0.151515
0.278592,0.136852,0.151515
0.381232,0.131965,0.156403
0.376344,0.136852,0.151515
0.826002,0.131965,0.151515
1.045943,0.136852,0.151515
1.236559,0.136852,0.156403
1.197458,0.141740,0.166178
0.762463,0.131965,0.156403
0.865103,0.136852,0.161290
0.518084,0.131965,0.156403
0.581623,0.131965,0.151515
0.386119,0.131965,0.151515
0.591398,0.131965,0.151515
0.307918,0.131965,0.151515
0.469208,0.131965,0.156403
0.449658,0.131965,0.166178
0.615836,0.131965,0.161290
0.400782,0.131965,0.156403
0.273705,0.136852,0.151515
0.185728,0.136852,0.156403
0.307918,0.131965,0.151515
0.630499,0.136852,0.166178
1.119257,0.156403,0.175953
0.889541,0.146628,0.175953
1.368524,0.141740,0.205279
1.006843,0.151515,0.171065
0.679374,0.136852,0.161290
0.415445,0.136852,0.161290
0.591398,0.136852,0.156403
0.449658,0.136852,0.161290
0.503421,0.136852,0.166178
0.654936,0.136852,0.161290
0.684262,0.171065,0.161290
0.518084,2.101662,0.503421
0.659824,4.242424,0.830890
0.498534,4.491691,1.241447
0.444770,3.499511,0.757576
0.351906,3.250244,0.449658
0.215054,1.705767,0.351906
0.166178,1.163245,0.303030
0.327468,0.513196,0.205279
1.148583,0.469208,0.215054
1.612903,0.650049,0.254154
1.871945,0.425220,0.244379
1.363636,0.317693,0.205279
0.845552,0.224829,0.175953
0.620723,0.166178,0.161290
0.537634,0.146628,0.156403
0.351906,0.146628,0.156403
0.503421,0.141740,0.156403
0.547410,0.136852,0.156403
0.415445,0.166178,0.156403
0.689150,0.190616,0.161290
0.474096,0.224829,0.166178
0.439883,3.206256,0.640274
