emg1,emg2,emg3
4.501466,0.219941,0.200391
4.501466,0.234604,0.175953
4.506354,0.215054,0.166178
4.501466,0.195503,0.161290
4.501466,0.185728,0.156403
4.501466,0.175953,0.156403
4.496579,0.171065,0.156403
4.496579,0.171065,0.161290
4.501466,0.151515,0.156403
4.501466,0.156403,0.156403
3.255132,0.146628,0.156403
2.145650,0.151515,0.156403
1.300098,0.141740,0.146628
1.212121,0.175953,0.185728
1.016618,0.161290,0.190616
0.733138,0.249267,0.205279
0.351906,0.200391,0.185728
0.239492,0.166178,0.175953
0.180841,0.161290,0.185728
0.156403,0.146628,0.180841
0.146628,0.141740,0.161290
0.141740,0.136852,0.151515
0.146628,0.136852,0.156403
0.141740,0.141740,0.151515
0.151515,0.136852,0.146628
0.351906,0.136852,0.156403
0.747801,0.136852,0.156403
0.728250,0.136852,0.156403
0.620723,0.136852,0.156403
0.478983,0.136852,0.156403
0.635386,0.136852,0.151515
0.351906,0.131965,0.151515
0.224829,0.136852,0.151515
0.166178,0.127077,0.151515
0.151515,0.136852,0.151515
0.151515,0.131965,0.146628
0.141740,0.136852,0.146628
0.146628,0.131965,0.151515
0.136852,0.136852,0.151515
0.141740,0.136852,0.146628
0.146628,0.131965,0.151515
0.136852,0.131965,0.146628
0.141740,0.131965,0.146628
0.141740,0.131965,0.151515
0.141740,0.131965,0.151515
0.136852,0.136852,0.146628
0.141740,0.131965,0.151515
0.141740,0.131965,0.146628
0.141740,0.131965,0.151515
0.146628,0.136852,0.146628
0.146628,0.141740,0.151515
0.166178,0.136852,0.151515
0.156403,0.136852,0.151515
0.332356,0.141740,0.151515
0.273705,0.136852,0.151515
0.356794,0.131965,0.151515
0.581623,0.131965,0.151515
0.391007,0.136852,0.156403
0.298143,0.131965,0.151515
0.371457,0.136852,0.151515
0.303030,0.136852,0.151515
0.332356,0.131965,0.151515
0.234604,0.136852,0.146628
0.283480,0.136852,0.156403
0.288368,0.131965,0.156403
0.410557,0.136852,0.166178
0.425220,0.136852,0.175953
0.254154,0.131965,0.156403
0.190616,0.136852,0.166178
0.205279,0.136852,0.156403
0.171065,0.131965,0.151515
0.156403,0.131965,0.151515
0.151515,0.131965,0.151515
0.141740,0.131965,0.151515
0.151515,0.136852,0.156403
0.141740,0.131965,0.151515
0.146628,0.131965,0.151515
0.141740,0.131965,0.151515
0.141740,0.136852,0.146628
0.146628,0.131965,0.151515
0.141740,0.131965,0.151515
0.141740,0.131965,0.151515
0.141740,0.131965,0.146628
0.141740,0.131965,0.151515
0.141740,0.136852,0.156403
0.146628,0.136852,0.151515
0.146628,0.131965,0.156403
0.141740,0.136852,0.156403
0.146628,0.131965,0.156403
0.151515,0.136852,0.151515
0.146628,0.136852,0.151515
0.146628,0.131965,0.146628
