emg1,emg2,emg3
0.972630,0.210166,0.205279
1.031281,0.782014,0.185728
0.997067,0.371457,0.175953
0.977517,0.224829,0.171065
0.962854,0.171065,0.161290
0.967742,0.156403,0.171065
0.967742,0.141740,0.161290
0.967742,0.141740,0.156403
0.957967,0.141740,0.171065
0.957967,0.136852,0.156403
0.957967,0.136852,0.146628
0.953079,0.136852,0.156403
0.967742,0.136852,0.151515
0.957967,0.136852,0.156403
0.953079,0.136852,0.151515
0.967742,0.136852,0.151515
0.972630,0.131965,0.151515
0.962854,0.136852,0.151515
0.967742,0.136852,0.146628
0.977517,0.141740,0.156403
1.031281,1.045943,0.175953
1.016618,0.566960,0.166178
0.977517,0.278592,0.156403
0.967742,0.175953,0.151515
0.962854,0.146628,0.151515
1.026393,1.060606,0.322581
1.001955,0.449658,0.210166
0.997067,0.239492,0.171065
0.977517,0.166178,0.156403
0.967742,0.146628,0.156403
0.967742,0.136852,0.151515
0.962854,0.136852,0.156403
0.967742,0.131965,0.151515
0.962854,0.136852,0.151515
0.972630,0.131965,0.161290
0.957967,0.136852,0.156403
0.957967,0.131965,0.151515
0.967742,0.131965,0.146628
0.967742,0.131965,0.156403
0.972630,0.131965,0.166178
0.967742,0.131965,0.161290
0.972630,0.136852,0.156403
0.967742,0.131965,0.166178
0.972630,0.131965,0.156403
0.972630,0.136852,0.156403
0.972630,0.131965,0.156403
0.967742,0.136852,0.156403
0.977517,0.131965,0.175953
0.972630,0.136852,0.171065
0.972630,0.156403,0.180841
1.011730,0.659824,0.322581
1.265885,3.861193,0.918866
1.388074,4.496579,2.316716
1.432063,4.496579,2.174976
1.456500,4.496579,2.443793
1.427175,4.496579,1.818182
1.417400,4.501466,1.564027
1.397849,4.496579,1.441838
1.446725,4.501466,2.003910
1.461388,4.496579,1.989247
1.461388,4.496579,1.862170
1.471163,4.496579,2.277615
1.466276,4.496579,2.057674
1.476051,4.496579,2.062561
1.480938,4.501466,2.130987
1.490714,4.501466,2.101662
1.456500,4.496579,1.700880
1.466276,4.496579,2.277615
1.466276,4.496579,2.082111
1.446725,4.501466,1.598240
1.451613,4.496579,1.388074
1.456500,4.496579,1.549365
1.456500,4.496579,1.559140
1.451613,4.491691,1.446725
1.456500,4.501466,1.456500
1.456500,4.496579,1.417400
1.456500,4.491691,1.270772
1.432063,4.012708,1.187683
1.427175,3.646139,1.173021
1.476051,4.159335,1.295210
1.510264,4.486804,0.962854
1.529814,4.418377,1.119257
1.524927,4.105572,1.006843
1.500489,3.655914,1.099707
1.554252,4.066471,0.987292
1.490714,3.563050,0.840665
1.378299,2.722385,0.826002
1.500489,4.027370,0.752688
1.485826,3.753666,0.816227
1.524927,4.252199,0.953079
1.505376,3.734115,0.972630
1.490714,3.978495,0.918866
1.515152,4.037146,0.816227
1.549365,4.403715,0.874878
1.446725,3.401760,0.752688
1.485826,3.939394,0.816227
1.461388,3.577713,0.791789
1.505376,4.193548,0.904203
1.539589,4.496579,1.124145
1.485826,3.787879,0.835777
1.427175,3.230694,0.869990
1.466276,3.807429,1.006843
1.427175,3.690127,1.070381
1.480938,4.462366,0.879765
1.441838,3.670577,0.860215
1.407625,3.421310,1.011730
1.378299,3.450635,0.879765
1.334311,3.084066,0.845552
1.427175,4.496579,0.889541
1.427175,4.076246,0.742913
1.373412,3.421310,0.620723
1.392962,3.607038,0.943304
1.417400,4.071359,0.679374
1.402737,3.753666,0.742913
1.353861,3.220919,0.938416
1.275660,2.766373,0.664712
1.304985,3.074291,0.596285
1.319648,3.167155,0.806452
1.251222,2.551320,0.645161
1.226784,2.253177,0.742913
1.280547,3.147605,0.772239
1.300098,3.191593,0.669599
1.295210,3.000978,0.684262
1.260997,2.741935,0.581623
1.329423,3.543500,0.689150
1.368524,3.699902,0.782014
1.334311,3.216031,0.742913
1.339198,3.284457,0.909091
1.280547,2.888563,0.752688
1.309873,3.313783,0.796676
1.397849,4.335288,0.899316
1.392962,4.012708,0.698925
1.353861,3.597263,0.757576
1.300098,3.137830,0.610948
1.260997,2.932551,0.566960
1.275660,3.084066,0.591398
1.251222,2.717498,0.610948
1.221896,2.639296,0.444770
1.212121,2.443793,0.537634
1.270772,3.132942,0.635386
1.270772,3.152493,0.650049
1.236559,2.663734,0.747801
1.251222,3.010753,0.596285
1.221896,2.565982,0.752688
1.202346,2.414467,0.581623
1.260997,3.010753,0.689150
1.177908,1.945259,0.518084
1.173021,2.086999,0.522972
1.217009,2.820137,0.620723
1.251222,2.883675,0.620723
1.329423,3.988270,0.752688
1.363636,3.905181,0.728250
1.339198,3.587488,0.654936
1.309873,3.260020,0.566960
1.275660,3.035191,0.669599
1.392962,4.379277,0.640274
1.324536,3.294233,0.826002
1.319648,3.338221,0.654936
1.358749,3.782991,0.747801
1.319648,3.377322,0.762463
1.348974,3.641251,0.786901
1.304985,3.367546,0.855327
1.300098,3.338221,0.806452
1.300098,3.489736,0.835777
1.368524,4.296188,0.762463
1.295210,3.191593,0.845552
1.275660,3.079179,0.855327
1.300098,3.416422,0.840665
1.324536,3.494624,0.948192
1.329423,3.563050,0.879765
1.334311,3.680352,0.918866
1.300098,3.118280,0.840665
1.324536,3.460411,0.869990
1.270772,2.913001,0.733138
1.285435,3.069404,0.874878
1.270772,2.996090,0.879765
1.324536,3.587488,0.894428
1.300098,3.157380,0.811339
1.329423,3.416422,0.782014
1.280547,3.098729,0.786901
1.334311,3.651026,0.772239
1.378299,4.086022,0.679374
1.304985,3.132942,0.879765
1.217009,2.336266,0.694037
