emg1,emg2,emg3,label
0.97263,0.210166,0.205279,close
1.031281,0.782014,0.185728,close
0.997067,0.371457,0.175953,close
0.977517,0.224829,0.171065,open
0.962854,0.171065,0.16129,open
0.967742,0.156403,0.171065,open
0.967742,0.14174,0.16129,open
0.967742,0.14174,0.156403,open
0.957967,0.14174,0.171065,open
0.957967,0.136852,0.156403,open
0.957967,0.136852,0.146628,open
0.953079,0.136852,0.156403,open
0.967742,0.136852,0.151515,open
0.957967,0.136852,0.156403,open
0.953079,0.136852,0.151515,open
0.967742,0.136852,0.151515,open
0.97263,0.131965,0.151515,open
0.962854,0.136852,0.151515,open
0.967742,0.136852,0.146628,open
0.977517,0.14174,0.156403,open
1.031281,1.045943,0.175953,open
1.016618,0.56696,0.166178,open
0.977517,0.278592,0.156403,open
0.967742,0.175953,0.151515,open
0.962854,0.146628,0.151515,open
1.026393,1.060606,0.322581,open
1.001955,0.449658,0.210166,open
0.997067,0.239492,0.171065,open
0.977517,0.166178,0.156403,open
0.967742,0.146628,0.156403,open
0.967742,0.136852,0.151515,open
0.962854,0.136852,0.156403,open
0.967742,0.131965,0.151515,open
0.962854,0.136852,0.151515,open
0.97263,0.131965,0.16129,open
0.957967,0.136852,0.156403,open
0.957967,0.131965,0.151515,open
0.967742,0.131965,0.146628,open
0.967742,0.131965,0.156403,open
0.97263,0.131965,0.166178,open
0.967742,0.131965,0.16129,open
0.97263,0.136852,0.156403,open
0.967742,0.131965,0.166178,open
0.97263,0.131965,0.156403,open
0.97263,0.136852,0.156403,open
0.97263,0.131965,0.156403,open
0.967742,0.136852,0.156403,open
0.977517,0.131965,0.175953,open
0.97263,0.136852,0.171065,open
0.97263,0.156403,0.180841,open
1.01173,0.659824,0.322581,open
1.265885,3.861193,0.918866,open
1.388074,4.496579,2.316716,open
1.432063,4.496579,2.174976,close
1.4565,4.496579,2.443793,close
1.427175,4.496579,1.818182,close
1.4174,4.501466,1.564027,close
1.397849,4.496579,1.441838,close
1.446725,4.501466,2.00391,close
1.461388,4.496579,1.989247,close
1.461388,4.496579,1.86217,close
1.471163,4.496579,2.277615,close
1.466276,4.496579,2.057674,close
1.476051,4.496579,2.062561,close
1.480938,4.501466,2.130987,close
1.490714,4.501466,2.101662,close
1.4565,4.496579,1.70088,close
1.466276,4.496579,2.277615,close
1.466276,4.496579,2.082111,close
1.446725,4.501466,1.59824,close
1.451613,4.496579,1.388074,close
1.4565,4.496579,1.549365,close
1.4565,4.496579,1.55914,close
1.451613,4.491691,1.446725,close
1.4565,4.501466,1.4565,close
1.4565,4.496579,1.4174,close
1.4565,4.491691,1.270772,close
1.432063,4.012708,1.187683,close
1.427175,3.646139,1.173021,close
1.476051,4.159335,1.29521,close
1.510264,4.486804,0.962854,close
1.529814,4.418377,1.119257,close
1.524927,4.105572,1.006843,close
1.500489,3.655914,1.099707,close
1.554252,4.066471,0.987292,close
1.490714,3.56305,0.840665,close
1.378299,2.722385,0.826002,close
1.500489,4.02737,0.752688,close
1.485826,3.753666,0.816227,close
1.524927,4.252199,0.953079,close
1.505376,3.734115,0.97263,close
1.490714,3.978495,0.918866,close
1.515152,4.037146,0.816227,close
1.549365,4.403715,0.874878,close
1.446725,3.40176,0.752688,close
1.485826,3.939394,0.816227,close
1.461388,3.577713,0.791789,close
1.505376,4.193548,0.904203,close
1.539589,4.496579,1.124145,close
1.485826,3.787879,0.835777,close
1.427175,3.230694,0.86999,close
1.466276,3.807429,1.006843,close
1.427175,3.690127,1.070381,close
1.480938,4.462366,0.879765,close
1.441838,3.670577,0.860215,close
1.407625,3.42131,1.01173,close
1.378299,3.450635,0.879765,close
1.334311,3.084066,0.845552,close
1.427175,4.496579,0.889541,close
1.427175,4.076246,0.742913,close
1.373412,3.42131,0.620723,close
1.392962,3.607038,0.943304,close
1.4174,4.071359,0.679374,close
1.402737,3.753666,0.742913,open
1.353861,3.220919,0.938416,open
1.27566,2.766373,0.664712,open
1.304985,3.074291,0.596285,open
1.319648,3.167155,0.806452,open
1.251222,2.55132,0.645161,open
1.226784,2.253177,0.742913,open
1.280547,3.147605,0.772239,open
1.300098,3.191593,0.669599,open
1.29521,3.000978,0.684262,open
1.260997,2.741935,0.581623,open
1.329423,3.5435,0.68915,open
1.368524,3.699902,0.782014,open
1.334311,3.216031,0.742913,open
1.339198,3.284457,0.909091,open
1.280547,2.888563,0.752688,open
1.309873,3.313783,0.796676,open
1.397849,4.335288,0.899316,open
1.392962,4.012708,0.698925,open
1.353861,3.597263,0.757576,open
1.300098,3.13783,0.610948,open
1.260997,2.932551,0.56696,open
1.27566,3.084066,0.591398,open
1.251222,2.717498,0.610948,open
1.221896,2.639296,0.44477,open
1.212121,2.443793,0.537634,open
1.270772,3.132942,0.635386,open
1.270772,3.152493,0.650049,open
1.236559,2.663734,0.747801,open
1.251222,3.010753,0.596285,open
1.221896,2.565982,0.752688,open
1.202346,2.414467,0.581623,open
1.260997,3.010753,0.68915,open
1.177908,1.945259,0.518084,open
1.173021,2.086999,0.522972,open
1.217009,2.820137,0.620723,open
1.251222,2.883675,0.620723,open
1.329423,3.98827,0.752688,open
1.363636,3.905181,0.72825,open
1.339198,3.587488,0.654936,open
1.309873,3.26002,0.56696,open
1.27566,3.035191,0.669599,open
1.392962,4.379277,0.640274,open
1.324536,3.294233,0.826002,open
1.319648,3.338221,0.654936,open
1.358749,3.782991,0.747801,open
1.319648,3.377322,0.762463,open
1.348974,3.641251,0.786901,open
1.304985,3.367546,0.855327,open
1.300098,3.338221,0.806452,open
1.300098,3.489736,0.835777,open
1.368524,4.296188,0.762463,open
1.29521,3.191593,0.845552,open
1.27566,3.079179,0.855327,open
1.300098,3.416422,0.840665,open
1.324536,3.494624,0.948192,open
1.329423,3.56305,0.879765,open
1.334311,3.680352,0.918866,open
1.300098,3.11828,0.840665,open
1.324536,3.460411,0.86999,open
1.270772,2.913001,0.733138,open
1.285435,3.069404,0.874878,open
1.270772,2.99609,0.879765,open
1.324536,3.587488,0.894428,open
1.300098,3.15738,0.811339,open
1.329423,3.416422,0.782014,open
1.280547,3.098729,0.786901,open
1.334311,3.651026,0.772239,open
1.378299,4.086022,0.679374,open
1.304985,3.132942,0.879765,open
1.217009,2.336266,0.694037,open
1.290323,3.343109,0.654936,open
1.319648,3.5826,0.874878,open
1.373412,4.046921,1.031281,close
1.461388,4.481916,1.041056,close
1.476051,4.467253,0.894428,close
1.495601,4.491691,0.99218,close
1.500489,4.491691,0.97263,close
1.446725,3.665689,0.957967,close
1.383187,3.391984,0.894428,close
1.4565,4.110459,1.197458,close
1.505376,4.486804,1.143695,close
1.524927,4.486804,1.055718,close
1.510264,4.496579,0.909091,close
1.515152,4.496579,0.982405,close
1.524927,4.496579,1.094819,close
1.529814,4.496579,1.129032,close
1.544477,4.486804,1.207234,close
1.515152,4.14956,1.290323,close
1.520039,4.491691,1.309873,close
1.510264,4.496579,1.177908,close
1.500489,4.491691,0.943304,close
1.505376,4.491691,0.909091,close
1.495601,4.491691,0.923754,close
1.495601,4.491691,0.928641,close
1.476051,4.354839,0.879765,close
1.407625,3.753666,0.904203,close
1.290323,2.702835,0.938416,close
1.290323,3.11828,0.791789,close
1.329423,3.597263,0.899316,close
1.432063,4.491691,0.99218,close
1.471163,4.491691,1.104594,close
1.476051,4.491691,0.767351,close
