emg1,emg2,emg3
4.496579,0.200391,0.210166
4.501466,0.210166,0.175953
4.496579,0.185728,0.166178
4.496579,0.180841,0.161290
4.501466,0.195503,0.171065
4.501466,0.190616,0.166178
4.501466,0.185728,0.156403
4.496579,0.156403,0.151515
3.890518,0.141740,0.151515
1.412512,0.136852,0.151515
0.571848,0.146628,0.151515
0.288368,0.141740,0.151515
0.190616,0.136852,0.156403
0.161290,0.146628,0.156403
0.146628,0.146628,0.161290
0.156403,0.141740,0.161290
0.156403,0.136852,0.156403
0.229717,0.131965,0.156403
0.263930,0.136852,0.151515
0.322581,0.131965,0.151515
0.259042,0.136852,0.156403
0.185728,0.136852,0.151515
0.156403,0.146628,0.151515
0.263930,0.136852,0.146628
0.493646,0.136852,0.156403
0.635386,0.146628,0.156403
0.650049,0.136852,0.161290
0.332356,0.131965,0.156403
0.224829,0.131965,0.151515
0.175953,0.136852,0.151515
0.156403,0.136852,0.146628
0.151515,0.141740,0.151515
0.146628,0.136852,0.151515
0.141740,0.136852,0.146628
0.146628,0.131965,0.151515
0.141740,0.136852,0.151515
0.141740,0.131965,0.151515
0.141740,0.131965,0.146628
0.146628,0.131965,0.146628
0.141740,0.136852,0.151515
0.141740,0.136852,0.151515
0.141740,0.136852,0.151515
0.146628,0.141740,0.146628
0.146628,0.136852,0.146628
0.141740,0.136852,0.151515
0.146628,0.136852,0.156403
0.141740,0.136852,0.146628
0.146628,0.141740,0.151515
0.146628,0.136852,0.146628
0.141740,0.136852,0.146628
0.141740,0.136852,0.156403
0.141740,0.131965,0.151515
0.141740,0.131965,0.151515
0.141740,0.131965,0.151515
0.146628,0.136852,0.151515
0.141740,0.131965,0.151515
0.146628,0.131965,0.151515
0.136852,0.136852,0.146628
0.141740,0.131965,0.146628
0.141740,0.136852,0.156403
0.141740,0.131965,0.146628
0.141740,0.136852,0.151515
0.146628,0.136852,0.146628
0.146628,0.136852,0.146628
0.141740,0.136852,0.151515
0.141740,0.131965,0.146628
0.146628,0.136852,0.146628
